claim_id,canonical_claim,variant_claim,category,annotator_label,annotator_confidence,notes,removal_reason
37,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Medical Misinformation,,,,exact
59,Experts later identified the civet in the video as actually being the much more common small Indian civet.,Experts later identified the civet in the video as actually being the much more common small Indian civet.,Miscellaneous,,,,exact
5,"In February 2020, it has been alleged that the first person infected may have been a researcher at the institute named Huang Yanling.","In February 2020, it has been alleged that the first person infected may have been a researcher at the institute named Huang Yanling.",Accidental leakage,,,,exact
49,"We're very close to a vaccine.""","We're very close to a vaccine.""",Government,,,,exact
53,"This was based on a misunderstanding of how the Wuhan Civil Affairs data is reported, with quarterly figures representing the cumulative total of the year-to-date, rather than the quarter in question.","This was based on a misunderstanding of how the Wuhan Civil Affairs data is reported, with quarterly figures representing the cumulative total of the year-to-date, rather than the quarter in question.",Government,,,,exact
61,A social media joke suggesting that lions had been freed to keep people off the streets in Moscow was passed around as if it were true.,A social media joke suggesting that lions had been freed to keep people off the streets in Moscow was passed around as if it were true.,Miscellaneous,,,,exact
55,"There is no direct link between the virus and the beer brand, but rather, both names draw upon the Latin corona, meaning 'crown'.","There is no direct link between the virus and the beer brand, but rather, both names draw upon the Latin corona, meaning 'crown'.",Miscellaneous,,,,exact
49,"We're very close to a vaccine.""",We're very close to a vaccine.,Government,,,,near_duplicate (>0.95)
57,"The image of the swans was revealed to have been taken in Burano, where swans are common, while footage of the dolphins was filmed at a port in Sardinia hundreds of miles away.","The image of the swans was revealed to have been taken in Burano, where swans are common, while footage of the dolphins was filmed at a port in Sardinia hundreds of miles away.",Miscellaneous,,,,exact
23,"No evidence supports that SARS-CoV 2 can survive for prolonged periods of time (like what might happen during shipping) on surfaces, and Costco has not issued such a recall.","No evidence supports that SARS-CoV 2 can survive for prolonged periods of time (like what might happen during shipping) on surfaces, and Costco has not issued such a recall.",Medical Misinformation,,,,exact
51,"Their statements range from false to unproven, and in some cases, underestimate the challenges that public health officials must contend with in responding to the virus.""","Their statements range from false to unproven, and in some cases, underestimate the challenges that public health officials must contend with in responding to the virus.""",Government,,,,exact
41,A fake Fox News article also claimed that  CBD oil  was a potential cure.,A fake Fox News article also claimed that  CBD oil  was a potential cure.,Medical Misinformation,,,,exact
62,"Facebook and YouTube removed items pushing this story, and fact checking organisations established that the picture is of Margate Lighthouse and the ""virus"" is the staircase at the Tate Britain.","Facebook and YouTube removed items pushing this story, and fact checking organisations established that the picture is of Margate Lighthouse and the ""virus"" is the staircase at the Tate Britain.",Miscellaneous,,,,exact
58,"The Venice mayor's office clarified that the reported water clarity in the canals was due to the lack of sediment being kicked up by boat traffic, not due to a lack of water pollution that was initia","The Venice mayor's office clarified that the reported water clarity in the canals was due to the lack of sediment being kicked up by boat traffic, not due to a lack of water pollution that was initially reported.",Miscellaneous,,,,near_duplicate (>0.95)
43,"The Food and Drug Administration has warned multiple times that drinking MMS is ""dangerous"" as it may cause ""severe vomiting"" and ""acute liver failure"".","The Food and Drug Administration has warned multiple times that drinking MMS is ""dangerous"" as it may cause ""severe vomiting"" and ""acute liver failure"".",Medical Misinformation,,,,exact
56,"A viral post that originated on Weibo and spread on Twitter claimed that a pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea","A viral post that originated on Weibo and spread on Twitter claimed that a pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.",Miscellaneous,,,,near_duplicate (>0.95)
42,Claims that Vitamin D pills could help prevent the coronavirus circulated on social media in Thailand.,Claims that Vitamin D pills could help prevent the coronavirus circulated on social media in Thailand.,Medical Misinformation,,,,exact
32,Another message claimed that observing Janata curfew will result in the reduction of COVID-19 cases by 40%.,Another message claimed that observing Janata curfew will result in the reduction of COVID-19 cases by 40%.,Medical Misinformation,,,,exact
11,Cowan also falsely alleged that the viruses were wastes from cells that are poisoned by electromagnetic fields and historical viral pandemics coincided with the major developments in radio technology.,Cowan also falsely alleged that the viruses were wastes from cells that are poisoned by electromagnetic fields and historical viral pandemics coincided with the major developments in radio technology.,Medical Misinformation,,,,exact
29,The notion that the vibrations generated by clapping together during Janata curfew will kill the virus was debunked by the media.,The notion that the vibrations generated by clapping together during Janata curfew will kill the virus was debunked by the media.,Medical Misinformation,,,,exact
27,Political activist Swami Chakrapani and Member of the Legislative Assembly Suman Haripriya claimed that drinking cow urine and applying cow dung on the body can cure COVID-19.,Political activist Swami Chakrapani and Member of the Legislative Assembly Suman Haripriya claimed that drinking cow urine and applying cow dung on the body can cure COVID-19.,Medical Misinformation,,,,exact
14,"While the effectiveness of sanitiser depends on the specific ingredients, most hand sanitiser sold commercially does destroy the coronavirus.","While the effectiveness of sanitiser depends on the specific ingredients, most hand sanitiser sold commercially does destroy the coronavirus.",Medical Misinformation,,,,exact
36,"There were also claims that chloroquine was used to cure over 12,000 COVID-19 patients.","There were also claims that chloroquine was used to cure over 12,000 COVID-19 patients.",Medical Misinformation,,,,exact
16,"That was disproved, as ""there is no evidence that acetic acid is effective against the virus"" and, even if there was, ""its concentration in common household vinegar is low"".","That was disproved, as ""there is no evidence that acetic acid is effective against the virus"" and, even if there was, ""its concentration in common household vinegar is low"".",Medical Misinformation,,,,exact
40,"A claim that  cannabis  could protect against the coronavirus appeared on Youtube, along with a petition to legalize cannabis in Sri Lanka.","A claim that  cannabis  could protect against the coronavirus appeared on Youtube, along with a petition to legalize cannabis in Sri Lanka.",Medical Misinformation,,,,exact
24,The report has led to a purchase craze of shuanghuanglian.,The report has led to a purchase craze of shuanghuanglian.,Medical Misinformation,,,,exact
33,"In India, fake news circulated that the World Health Organization warned against eating cabbage to prevent coronavirus infection.","In India, fake news circulated that the World Health Organization warned against eating cabbage to prevent coronavirus infection.",Medical Misinformation,,,,exact
35,There are claims that wearing shoes at one's home is the reason behind the spread of the coronavirus in Italy.,There are claims that wearing shoes at one's home is the reason behind the spread of the coronavirus in Italy.,Medical Misinformation,,,,exact
38,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Medical Misinformation,,,,exact
