claim_id,canonical_claim,variant_claim,category,annotator_label,annotator_confidence,notes
5,"In February 2020, it has been alleged that the first person infected may have been a researcher at the institute named Huang Yanling.",The first person infected is a researcher named Huang Yanling.,Accidental leakage,same,1.0,"auto-labeled: combined=0.816, LOW"
2,"The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts o","The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts of water will protect against the virus; and the claim that gargling salt water prevents infection.",Combative Efforts,different,2.0,"auto-labeled: combined=0.6061, MEDIUM"
4,"According to the Kyiv Post, two common conspiracy theories online in Ukraine are that American author Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness, and that the coronavir",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Conspiracy Theories,same,1.0,"auto-labeled: combined=0.7928, LOW"
48,"Epstein of the Hoover Institution, who in a series of articles consistently played down the scale of the epidemics, ridiculed the ""panic"" being spread by ""progressives"", made a number of incorrect sta","Epstein of the Hoover Institution, who in a series of articles consistently played down the scale of the epidemics, ridiculed the ""panic"" being spread by ""progressives"", made a number of incorrect statements about the SARS-CoV-2 virus, misapplied and misconstrued Darwinian evolutionary theory in regards to the pandemics, and predicted ""about 500 deaths at the end"" of the epidemics.",Government,same,1.0,"auto-labeled: combined=0.8113, LOW"
6,"In early February, a decade-old map illustrating a hypothetical viral outbreak published by the World Population Project (part of the University of Southampton) was misappropriated by a number of Aus",A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,Statistics,different,1.0,"auto-labeled: combined=0.6999, LOW"
1,"The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts o",A person can tell if they have coronavirus or not simply by holding their breath.,Combative Efforts,different,3.0,"auto-labeled: combined=0.4334, HIGH"
4,"According to the Kyiv Post, two common conspiracy theories online in Ukraine are that American author Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness, and that the coronavir","According to the Kyiv Post, two common conspiracy theories online in Ukraine are that American author Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness, and that the coronavirus was a bioweapon leaked from a secret lab in Wuhan.",Conspiracy Theories,same,2.0,"auto-labeled: combined=0.836, MEDIUM"
53,"This was based on a misunderstanding of how the Wuhan Civil Affairs data is reported, with quarterly figures representing the cumulative total of the year-to-date, rather than the quarter in question.","There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",Government,different,3.0,"auto-labeled: combined=0.418, HIGH"
12,"Iran has reported methanol consumption incidents under the false belief that it would cure or protect against coronavirus;bootleg alcohols that contain methanol, which is an industrial alcohol, were","Iran has reported methanol consumption incidents under the false belief that it would cure or protect against coronavirus;bootleg alcohols that contain methanol, which is an industrial alcohol, were often consumed since alcohol is banned in Iran.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9855, HIGH"
57,"The image of the swans was revealed to have been taken in Burano, where swans are common, while footage of the dolphins was filmed at a port in Sardinia hundreds of miles away.",Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,Miscellaneous,different,3.0,"auto-labeled: combined=0.3953, HIGH"
6,"In early February, a decade-old map illustrating a hypothetical viral outbreak published by the World Population Project (part of the University of Southampton) was misappropriated by a number of Aus","In early February, a decade-old map illustrating a hypothetical viral outbreak published by the World Population Project (part of the University of Southampton) was misappropriated by a number of Australian media news outlets (and British tabloids The Sun, Daily Mail and Metro) which claimed the map represented the 2020 coronavirus outbreak.",Statistics,same,3.0,"auto-labeled: combined=0.9262, HIGH"
2,"The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts o",Drinking large amounts of water will protect against coronavirus.,Combative Efforts,different,3.0,"auto-labeled: combined=0.4768, HIGH"
